HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag,Parallax,n_Parallax,display_name
911, 92Alp Cet,18884, ,Alp Cet,45.56999999999999,4.089722222222222,2.53,1.64,  M1.5IIIa,*,0.009, ,Menkar
896, 91Lam Cet,18604, , ,44.928749999999994,8.907499999999999,4.7,-0.12,  B6III,*,, ,λ Cetus
1030,  1Omi Tau,21120, , 1134,51.203333333333326,9.028888888888888,3.6,0.89,  G6IIIFe-1,*,0.016, ,ο Taurus
1038,  2Xi  Tau,21364, , ,51.79249999999999,9.732777777777777,3.74,-0.09,  B9Vn,*,-0.017, ,ξ Taurus
1061,  4    Tau,21686, , ,52.602083333333326,11.336388888888887,5.14,-0.03,  A0Vn, ,0.002, ,s Taurus
754, 78Nu  Cet,16161, 1971, ,38.96874999999999,5.593333333333333,4.86,0.87,  G8III,*,0.002, ,ν Cetus
813, 87Mu  Cet,17094, ,  909,41.23541666666666,10.114166666666666,4.27,0.31,  F0IV,*,0.046, ,μ Cetus
718, 73Xi 2Cet,15318, , ,37.039583333333326,8.459999999999999,4.28,-0.06,  B9III, ,0.03, ,ξ² Cetus
702, 24Xi  Ari,14951, , ,36.20416666666666,10.610555555555552,5.47,-0.1,  B7IV, ,, ,ξ Aries
812, 38    Ari,17093, ,UV Ari,41.239999999999995,12.445833333333333,5.18,0.24,  A7III-IV,*,0.027, ,38.0 Aries
847, 43Sig Ari,17769, , ,42.87333333333333,15.081944444444442,5.49,-0.09,  B7V, ,, ,σ Aries
1174, 30    Tau,23793, 2778, 1327,57.06791666666666,11.143333333333333,5.07,-0.13,  B3V+F5V,*,0.011,D,e Taurus
1066,  5    Tau,21754, , ,52.71833333333333,12.936666666666666,4.11,1.12,  K0II-IIIFe-0.5,*,-0.012, ,f Taurus
1409, 74Eps Tau,28305, , ,67.15416666666665,19.180277777777775,3.53,1.01,  G9.5IIICN0.5,*,0.02, ,Ain
1329, 50Ome2Tau,27045, ,Var?,64.315,20.57861111111111,4.94,0.26,  A3m,*,, ,ω Taurus
1339, 53    Tau,27295, , ,64.85874999999999,21.14222222222222,5.35,-0.08,  B9IV,*,, ,53.0 Taurus
1341, 56    Tau,27309, ,V724 Tau,64.90291666666666,21.77361111111111,5.38,-0.14,  A0pSi,*,, ,56.0 Taurus
1256, 37    Tau,25604, , ,61.17374999999999,22.08194444444444,4.36,1.07,  K0+III-IIIaFe-0.2,*,0.013, ,A01 Taurus
951, 57Del Ari,19787, , 1066,47.90749999999999,19.726666666666663,4.35,1.03,  K2III,*,0.027, ,Botein
972, 58Zet Ari,20150, , ,48.72541666666666,21.04444444444444,4.89,-0.01,  A1V, ,0.02, ,ζ Aries
1015, 63Tau2Ari,20893, , ,50.688333333333325,20.74194444444444,5.09,1.24,  K3III, ,0.008, ,63.0 Aries
1005, 61Tau1Ari,20756, , ,50.30666666666666,21.14694444444444,5.28,-0.07,  B5IV,*,, ,τ Aries
1172, ,23753, , 1321,57.087083333333325,23.42111111111111,5.45,-0.07,  B8V,*,, ,HD 23753
1156, 23    Tau,23480, ,V971 Tau,56.581666666666656,23.94833333333333,4.18,-0.06,  B6IVe,*,, ,Merope
1142, 17    Tau,23302, , ,56.21874999999999,24.11333333333333,3.7,-0.11,  B6III,*,0.02, ,Electra
1149, 20    Tau,23408, , 1279,56.456666666666656,24.367777777777775,3.87,-0.07,  B8III,*,, ,Maia
1140, 16    Tau,23288, , 1262,56.20083333333333,24.28944444444444,5.46,-0.04,  B7IV,*,0.012, ,Celaeno
1145, 19    Tau,23338, , 1264,56.30208333333333,24.46722222222222,4.3,-0.11,  B6IV,*,, ,Taygeta
1252, 36    Tau,25555, 2965, ,61.090416666666655,24.10583333333333,5.47,0.86,  G0III+A4V,*,0.014, ,36.0 Taurus
1178, 27    Tau,23850, 2786, 1345,57.29041666666666,24.05333333333333,3.63,-0.09,  B8III,*,-0.026, ,Atlas
1180, 28    Tau,23862, ,BU Tau,57.29666666666666,24.136666666666663,5.09,-0.08,  B8Vpe,*,-0.012, ,Pleione
1165, 25Eta Tau,23630, , ,56.87124999999999,24.104999999999997,2.87,-0.09,  B7IIIe,*,0.008, ,Alcyone
1188, ,23985, 2799, 1366,57.57874999999999,25.57944444444444,5.26,0.21,  A2V+A5V,*,0.018,D,HD 23985
836, 42Pi  Ari,17543, 2151,  944,42.322916666666664,17.464166666666664,5.22,-0.06,  B6V,*,, ,π Aries
773, 32Nu  Ari,16432, , ,39.70416666666666,21.961388888888887,5.43,0.16,  A7V, ,0.013, ,ν Aries
563,  8Iot Ari,11909, , ,29.33791666666666,17.8175,5.1,0.92,  K1p,*,, ,ι Aries
546,  5Gam2Ari,11502, 1507,Gam Ari,28.382499999999997,19.293611111111108,4.75,-0.04,  A1pSi,*,0.026, ,Mesarthim
545,  5Gam1Ari,11503, 1507,Var?,28.382499999999997,19.29583333333333,4.83,,  B9V,*,0.026, ,gam02 Aries
493,107    Psc,10476, ,  600,25.624166666666664,20.26861111111111,5.24,0.84,  K1V, ,0.119, ,107.0 Piscis
553,  6Bet Ari,11636, ,  658,28.659999999999997,20.80805555555555,2.64,0.13,  A5V,*,0.074, ,Sheratan
646, 17Eta Ari,13555, , ,33.20041666666666,21.21083333333333,5.27,0.43,  F5V,*,, ,η Aries
613, 12Kap Ari,12869, , ,31.641249999999996,22.64833333333333,5.03,0.11,  A2m,*,, ,κ Aries
617, 13Alp Ari,12929, ,  725,31.79333333333333,23.462499999999995,2.0,1.15,  K2-IIICa-1,*,0.049, ,Hamal
569,  9Lam Ari,11973, 1563,  680,29.48208333333333,23.596111111111107,4.79,0.28,  F0V,*,0.028, ,λ Aries
623, 14    Ari,13174, , ,32.35541666666666,25.93972222222222,4.98,0.33,  F2III, ,, ,14.0 Aries
675, 10    Tri,14252, 1770, ,34.7375,28.642499999999995,5.03,0.04,  A2V, ,, ,10.0 Triangulum
887, 48Eps Ari,18519, 2257, 1001,44.80291666666666,21.340277777777775,4.63,0.04,  A2V s,*,0.005, ,ε Aries
888, 48Eps Ari,18520, 2257, 1001,44.80291666666666,21.340277777777775,4.63,0.04,  A2V s,*,0.005, ,ε Aries
838, 41    Ari,17573, 2159,  951,42.49583333333333,27.260555555555552,3.63,-0.1,  B8Vn,*,0.034, ,Bharani
999, ,20644, , ,50.084999999999994,29.04833333333333,4.47,1.55,  K2II-III, ,-0.008, ,HD 20644
991, ,20468, , ,49.68249999999999,34.22277777777777,4.82,1.49,  K2IICN1,*,0.012, ,HD 20468
782, 33    Ari,16628, 2033, ,40.17124999999999,27.06083333333333,5.3,0.09,  A3V,*,0.002, ,33.0 Aries
801, 35    Ari,16908, , ,40.86291666666666,27.707222222222217,4.66,-0.13,  B3V,*,, ,35.0 Aries
824, 39    Ari,17361, , ,41.977083333333326,29.247222222222216,4.51,1.11,  K1.5III, ,0.027, ,Lilii Borea
717, 12    Tri,15257, , ,37.041666666666664,29.66944444444444,5.29,,  F0III, ,, ,12.0 Triangulum
758, ,16210, ,R Tri,39.260416666666664,34.263888888888886,5.3,1.55,  M4IIIe,*,0.008, ,HD 16210
750, 15    Tri,16058, ,  866,38.94499999999999,34.68749999999999,5.35,1.66,  M3IIIa,*,0.016, ,15.0 Triangulum
873, 21    Per,18296, ,LT Per,44.322083333333325,31.934166666666663,5.11,-0.01,  B9pSi,*,0.003, ,21.0 Perseus
882, 24    Per,18449, , ,44.76541666666666,35.18305555555555,4.93,1.23,  K2III, ,, ,24.0 Perseus
