n_HD,HD,DM,GC,HR,HIP,RAJ2000,DEJ2000,Vmag,Fl,Bayer,Cst,SimbadName
M,18884,"BD+03   419 ",3643,911,14135,45.56991666666666,4.089916666666666,2.54,92,"alf","Cet","HD  18884"
 ,18883,"BD+03   420 ",3646,910,14143,45.59379166666666,4.35286111111111,5.62,93," ","Cet","HD  18883"
 ,19926,"BD+06   496A",3827,958,14915,48.109874999999995,6.660888888888888,5.55,,"g","Tau","HD  19926"
M,18604,"BD+08   455 ",3595,896,13954,44.928749999999994,8.907388888888887,4.71,91,"lam","Cet","HD  18604"
 ,21120,"BD+08   511 ",4070,1030,15900,51.20349999999999,9.029055555555555,3.61,1,"omi","Tau","HD  21120"
M,21933,"BD+08   528 ",4231,1079,16511,53.14970833333333,9.373555555555555,5.76,6,"t","Tau","HD  21933"
 ,21364,"BD+09   439 ",4107,1038,16083,51.79216666666666,9.732777777777777,3.73,2,"ksi","Tau","HD  21364"
 ,21686,"BD+10   452 ",4173,1061,16322,52.60199999999999,11.33647222222222,5.14,4,"s","Tau","HD  21686"
 ,16161,"BD+04   418 ",3117,754,12093,38.968708333333325,5.593305555555554,4.87,78,"nu.","Cet","HD  16161"
 ,17094,"BD+09   359 ",3309,813,12828,41.234874999999995,10.114222222222221,4.27,87,"mu.","Cet","HD  17094"
 ,15318,"BD+07   388 ",2960,718,11484,37.03966666666666,8.460083333333332,4.3,73,"ksi02","Cet","HD  15318"
 ,15228,"BD+09   323 ",2946,,11427,36.848166666666664,10.198805555555554,6.45,25," ","Ari","HD  15228"
 ,14951,"BD+09   316 ",2901,702,11249,36.20433333333333,10.61061111111111,5.48,24,"ksi","Ari","HD  14951"
 ,16861,"BD+10   360 ",3260,797,12647,40.620625,10.741777777777775,6.32,85," ","Cet","HD  16861"
 ,17093,"BD+11   377 ",3308,812,12832,41.239625,12.44597222222222,5.17,38," ","Ari","HD  17093"
 ,16234,"BD+11   360 ",3133,763,12153,39.15729166666666,12.447833333333332,5.64,31," ","Ari","HD  16234"
